Start,Length,Vib,Press,Delay,Block,FN,FP
455517,3000,0,0,NaN,4,0,0
458517,3000,0,0,NaN,4,0,0
461517,2951,0,0,NaN,4,0,0
464468,3000,1,1,620,4,0,0
467468,3000,0,0,NaN,4,0,0
470468,3000,0,0,NaN,4,0,0
473468,2946,0,0,NaN,4,0,0
476414,3000,1,1,927,4,0,0
479414,3000,0,0,NaN,4,0,0
482414,3000,0,0,NaN,4,0,0
485414,2971,0,0,NaN,4,0,0
488385,3000,1,1,680,4,0,0
491385,3000,0,1,NaN,4,0,1
494385,3000,0,0,NaN,4,0,0
497385,2934,0,0,NaN,4,0,0
500319,3000,1,1,1025,4,0,0
503319,3000,0,0,NaN,4,0,0
506319,3000,0,0,NaN,4,0,0
509319,2949,0,0,NaN,4,0,0
512268,3000,1,1,584,4,0,0
515268,3000,0,0,NaN,4,0,0
518268,3000,0,0,NaN,4,0,0
521268,2940,0,0,NaN,4,0,0
524208,3000,1,1,571,4,0,0
527208,3000,0,0,NaN,4,0,0
530208,3000,0,0,NaN,4,0,0
533208,2868,0,0,NaN,4,0,0
536076,3000,1,1,1141,4,0,0
539076,3000,0,0,NaN,4,0,0
542076,3000,0,0,NaN,4,0,0
545076,3000,0,0,NaN,4,0,0
548076,27,0,0,NaN,4,0,0
548103,3000,1,1,665,4,0,0
551103,3000,0,0,NaN,4,0,0
554103,3000,0,0,NaN,4,0,0
557103,3000,0,0,NaN,4,0,0
560103,3000,0,0,NaN,4,0,0
563103,1968,0,0,NaN,4,0,0
565071,3000,1,1,533,4,0,0
568071,3000,0,0,NaN,4,0,0
571071,3000,0,0,NaN,4,0,0
574071,3000,0,0,NaN,4,0,0
577071,3000,0,0,NaN,4,0,0
580071,1947,0,0,NaN,4,0,0
582018,3000,1,1,749,4,0,0
585018,3000,0,0,NaN,4,0,0
588018,3000,0,0,NaN,4,0,0
591018,3000,0,0,NaN,4,0,0
594018,3000,0,0,NaN,4,0,0
597018,1963,0,0,NaN,4,0,0
598981,3000,1,1,756,4,0,0
601981,3000,0,0,NaN,4,0,0
604981,3000,0,0,NaN,4,0,0
607981,3000,0,0,NaN,4,0,0
610981,3000,0,0,NaN,4,0,0
613981,1987,0,0,NaN,4,0,0
615968,3000,1,1,744,4,0,0
618968,3000,0,0,NaN,4,0,0
621968,3000,0,0,NaN,4,0,0
624968,3000,0,0,NaN,4,0,0
627968,3000,0,0,NaN,4,0,0
630968,1891,0,0,NaN,4,0,0
632859,3000,1,1,1795,4,0,0
635859,3000,0,1,NaN,4,0,1
638859,3000,0,0,NaN,4,0,0
641859,3000,0,0,NaN,4,0,0
644859,3000,0,0,NaN,4,0,0
647859,1946,0,0,NaN,4,0,0
649805,1923,1,1,1908,4,0,0
651728,1077,0,1,NaN,4,0,1
652805,3000,0,0,NaN,4,0,0
655805,3000,0,0,NaN,4,0,0
658805,3000,0,0,NaN,4,0,0
661805,3000,0,0,NaN,4,0,0
664805,1969,0,0,NaN,4,0,0
666774,3000,1,1,917,4,0,0
669774,3000,0,0,NaN,4,0,0
672774,3000,0,0,NaN,4,0,0
675774,959,0,0,NaN,4,0,0
676733,3000,1,1,1550,4,0,0
679733,3000,0,0,NaN,4,0,0
682733,3000,0,0,NaN,4,0,0
685733,948,0,0,NaN,4,0,0
686681,3000,1,1,1131,4,0,0
689681,3000,0,0,NaN,4,0,0
692681,3000,0,0,NaN,4,0,0
695681,950,0,0,NaN,4,0,0
696631,3000,1,1,756,4,0,0
699631,3000,0,0,NaN,4,0,0
702631,3000,0,0,NaN,4,0,0
705631,938,0,0,NaN,4,0,0
706569,3000,1,1,1160,4,0,0
709569,3000,0,0,NaN,4,0,0
712569,3000,0,0,NaN,4,0,0
715569,966,0,0,NaN,4,0,0
716535,3000,1,1,1090,4,0,0
719535,3000,0,0,NaN,4,0,0
722535,3000,0,0,NaN,4,0,0
725535,937,0,0,NaN,4,0,0
726472,3000,1,0,NaN,4,1,0
729472,3000,0,1,NaN,4,0,1
732472,3000,0,0,NaN,4,0,0
735472,952,0,0,NaN,4,0,0
736424,3000,1,1,1454,4,0,0
739424,3000,0,0,NaN,4,0,0
742424,3000,0,0,NaN,4,0,0
745424,944,0,0,NaN,4,0,0
746368,3000,1,1,1543,4,0,0
749368,3000,0,0,NaN,4,0,0
752368,3000,0,0,NaN,4,0,0
755368,951,0,0,NaN,4,0,0
756319,3000,1,1,1443,4,0,0
759319,3000,0,0,NaN,4,0,0
762319,3000,0,0,NaN,4,0,0
765319,3000,0,0,NaN,4,0,0
768319,3000,0,0,NaN,4,0,0
771319,3000,0,0,NaN,4,0,0
774319,3000,0,0,NaN,4,0,0
777319,1954,0,0,NaN,4,0,0
779273,3000,1,1,1006,4,0,0
782273,3000,0,0,NaN,4,0,0
785273,3000,0,0,NaN,4,0,0
788273,3000,0,0,NaN,4,0,0
791273,3000,0,0,NaN,4,0,0
794273,3000,0,0,NaN,4,0,0
797273,3000,0,0,NaN,4,0,0
800273,1961,0,0,NaN,4,0,0
802234,3000,1,1,897,4,0,0
805234,3000,0,0,NaN,4,0,0
808234,3000,0,0,NaN,4,0,0
811234,3000,0,0,NaN,4,0,0
814234,3000,0,0,NaN,4,0,0
817234,3000,0,0,NaN,4,0,0
820234,3000,0,0,NaN,4,0,0
823234,1961,0,0,NaN,4,0,0
825195,3000,1,1,759,4,0,0
828195,3000,0,1,NaN,4,0,1
831195,3000,0,0,NaN,4,0,0
834195,3000,0,0,NaN,4,0,0
837195,3000,0,0,NaN,4,0,0
840195,3000,0,0,NaN,4,0,0
843195,3000,0,0,NaN,4,0,0
846195,1953,0,0,NaN,4,0,0
848148,3000,1,1,2349,4,0,0
851148,3000,0,0,NaN,4,0,0
854148,3000,0,0,NaN,4,0,0
857148,3000,0,0,NaN,4,0,0
860148,3000,0,0,NaN,4,0,0
863148,3000,0,0,NaN,4,0,0
866148,3000,0,0,NaN,4,0,0
869148,1993,0,0,NaN,4,0,0
871141,3000,1,0,NaN,4,1,0
874141,3000,0,0,NaN,4,0,0
877141,3000,0,0,NaN,4,0,0
880141,3000,0,0,NaN,4,0,0
883141,3000,0,0,NaN,4,0,0
886141,3000,0,0,NaN,4,0,0
889141,3000,0,0,NaN,4,0,0
892141,1924,0,0,NaN,4,0,0
894065,3000,1,0,NaN,4,1,0
897065,3000,0,0,NaN,1,0,0
900065,3000,0,0,NaN,1,0,0
903065,3000,0,0,NaN,1,0,0
906065,3000,0,0,NaN,1,0,0
909065,3000,0,0,NaN,1,0,0
912065,3000,0,0,NaN,1,0,0
915065,3000,0,0,NaN,1,0,0
918065,3000,0,0,NaN,1,0,0
921065,3000,0,0,NaN,1,0,0
924065,3000,0,0,NaN,1,0,0
927065,3000,0,0,NaN,1,0,0
930065,3000,0,0,NaN,1,0,0
933065,3000,0,0,NaN,1,0,0
936065,3000,0,0,NaN,1,0,0
939065,3000,0,0,NaN,1,0,0
942065,3000,0,0,NaN,1,0,0
945065,3000,0,0,NaN,1,0,0
948065,3000,0,0,NaN,1,0,0
951065,3000,0,0,NaN,1,0,0
954065,3000,0,0,NaN,1,0,0
957065,3000,0,0,NaN,1,0,0
960065,3000,0,0,NaN,1,0,0
963065,3000,0,0,NaN,1,0,0
966065,3000,0,0,NaN,1,0,0
969065,3000,0,0,NaN,1,0,0
972065,3000,0,0,NaN,1,0,0
975065,3000,0,0,NaN,1,0,0
978065,3000,0,0,NaN,1,0,0
981065,3000,0,0,NaN,1,0,0
984065,3000,0,0,NaN,1,0,0
987065,3000,0,0,NaN,1,0,0
990065,3000,0,0,NaN,1,0,0
993065,3000,0,0,NaN,1,0,0
996065,3000,0,0,NaN,1,0,0
999065,3000,0,0,NaN,1,0,0
1002065,3000,0,0,NaN,1,0,0
1005065,3000,0,0,NaN,1,0,0
1008065,3000,0,0,NaN,1,0,0
1011065,3000,0,0,NaN,1,0,0
1014065,3000,0,0,NaN,1,0,0
1018206,3000,0,0,NaN,1,0,0
1021206,3000,0,0,NaN,1,0,0
1024206,3000,0,0,NaN,1,0,0
1027206,3000,0,0,NaN,1,0,0
1030206,3000,0,0,NaN,1,0,0
1033206,3000,0,0,NaN,1,0,0
1036206,3000,0,0,NaN,1,0,0
1039206,3000,0,0,NaN,1,0,0
1042206,3000,0,0,NaN,1,0,0
1045206,3000,0,0,NaN,1,0,0
1048206,3000,0,0,NaN,1,0,0
1051206,3000,0,0,NaN,1,0,0
1054206,3000,0,0,NaN,1,0,0
1057206,3000,0,0,NaN,1,0,0
1060206,3000,0,0,NaN,1,0,0
1063206,3000,0,0,NaN,1,0,0
1066206,3000,0,0,NaN,1,0,0
1069206,3000,0,0,NaN,1,0,0
1072206,3000,0,0,NaN,1,0,0
1075206,3000,0,0,NaN,1,0,0
1078206,3000,0,0,NaN,1,0,0
1081206,3000,0,0,NaN,1,0,0
1084206,3000,0,0,NaN,1,0,0
1087206,3000,0,0,NaN,1,0,0
